frame 105, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 106, TPS: 29.585, Updating took: 1, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 107, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 108, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 109, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 110, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 111, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 112, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 113, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 114, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 115, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 116, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 117, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 118, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 119, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 120, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 121, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 122, TPS: 29.585, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 123, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 124, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 125, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 126, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 127, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 128, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 129, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 130, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 131, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 132, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 133, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 134, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 135, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 136, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 137, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 138, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 139, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 31
frame 140, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 31
frame 141, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 142, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 143, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 144, TPS: 30.382, Updating took: 1, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 145, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 146, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 147, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 148, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 149, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 150, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 151, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 152, TPS: 30.382, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 153, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 154, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 155, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 156, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 157, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 158, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 159, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 160, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 161, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 162, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 163, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 164, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 165, TPS: 29.940, Updating took: 0, Alloc: 0, TotalAlloc: 10, Sys: 8, NumGC: 32
frame 0, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 1, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 2, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 3, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 4, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 5, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 6, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 7, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 8, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 9, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 10, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 11, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 12, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 13, TPS: 0.402, Updating took: 1, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 14, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 15, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 16, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 17, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 18, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 28
frame 19, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 20, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 21, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 22, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 23, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 24, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 25, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 26, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 27, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 28, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 29, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 30, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 31, TPS: 0.402, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 32, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 33, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 34, TPS: 29.606, Updating took: 1, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 35, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
